Part No,Name,Category,Stock,Image Path,History
PSFU5-200,"5MM OD, 200 MM LENGTH, h5 ShaftPSFU5-2005MM?200MM,h5",Service Loop Setting Fixture | ??????,0.0,,
PSFU3-38,"3MM OD, 38 MM LENGTH, h5 ShaftPSFU3-38 3MM?38MM?h5",Service Loop Setting Fixture | ??????,0.0,,
9506T2,ONE-PIECE 5MM SHAFT COLLAR9506t2005mm,Service Loop Setting Fixture | ??????,0.0,,
9262K122,O-RING 6MM ID9262k122 o6mm id,Service Loop Setting Fixture | ??????,10.0,,
91292A029,M3 X 0.5 MM STAINLESS STEEL SOCKET HEAD SCREW91292a029 m3 * 0.5mm,Service Loop Setting Fixture | ??????,0.0,,
85015A81,SS METRIC BALL-NOSE SPRING PLUGER85015a81 s,Service Loop Setting Fixture | ??????,0.0,,
6462K72,"SET SCREW SHAFT COLLAR FOR 3/32"" DIAMETER6462k720 3/32'",Service Loop Setting Fixture | ??????,0.0,,
61205K73,5MM LINEAR BUSHING61205k730 5mm,Service Loop Setting Fixture | ??????,0.0,,
5054K304,HIGH-TEMPERATURE SILICONE RUBBER TUBING FOR AIR AND WATER5054k304 ,Service Loop Setting Fixture | ??????,0.0,,
1986K58,1986k58 1',Service Loop Setting Fixture | ??????,60.0,,
,"0.069"" needle gauge0.069""",Tube Cutting Fixture | ???????,2.0,,
FXT-00129,Wire Gathering ShimFXT-00129,Wire Bundling Fixture | ????,0.0,,
FXT-00330,Wire Gathering Shim LeverFXT-00330 ,Wire Bundling Fixture | ????,0.0,,
FXT-00130-1,Bundler BlockFXT-00130-1 ,Wire Bundling Fixture | ????,0.0,,
91273A772,M3*0.50MM 18-8 SST  SHOULDER SCREW,Wire Bundling Fixture | ????,0.0,,
,KRYTOX™ LVP CLEAN ROOM SEAL AND O-RING GREASE,Tensile tester | ?????,0.0,,
FXT-00306-04,U-CRIMPING INSERTFXT-00306-04 u,Pull wire U-crimping fixture | U??????,2.0,,
JJ-QS-000143-AC4,U-CRIMPING FIXTURE BASE,Pull wire U-crimping fixture | U??????,2.0,,
JJ-QS-000143-AC7,U-FORMING DIE,Pull wire U-crimping fixture | U??????,8.0,,
, ?  ?VTUG-10-SH2-S1T-G18R-UR-Q4S-3PL??,Non-Tip riveting PLC control box | PLC???,0.0,,
NPQE-DK-G18-Q4-P10,Push-in fitting1/8?4mm ?  ?NPQE-DK-G18-Q4-P10 ??,Non-Tip riveting PLC control box | PLC???,0.0,,
KQ2L04-01A,One-touch Fittings1/8?4mm ?SMC ?KQ2L04-01A ??,Non-Tip riveting PLC control box | PLC???,0.0,,
KQ2S04-M5A,M5?4mm ?SMC ?KQ2H04-M5A ??,Non-Tip riveting PLC control box | PLC???,0.0,,
KQ2U04-00A,Y?4mm ?SMC ?KQ2U04-00A ??,Non-Tip riveting PLC control box | PLC???,0.0,,
ISE20-N-P-M5-L, ?SMC ?ISE20-N-P-M5-L ??,Non-Tip riveting PLC control box | PLC???,11.0,,
KQ2L04-M5A,M5?4mm ?SMC ?KQ2L04-M5A ??,Non-Tip riveting PLC control box | PLC???,0.0,,
ARJ210-M5, ?SMC ?ARJ210-M5 ??,Non-Tip riveting PLC control box | PLC???,0.0,,
AS1002F-04, ?SMC ?AS1002F-04 ??,Non-Tip riveting PLC control box | PLC???,0.0,,
VN-10-M-I3-PQ2-VQ2,Vacuum generator ? ?VN-10-M-13-PQ2-VQ2 ??,Non-Tip riveting PLC control box | PLC???,8.0,,
NPQE-D-Q4-S6-P10, ? ?NPQE-D-Q4-S6-P10 ??,Non-Tip riveting PLC control box | PLC???,1.0,,
UL10-10,Round Wire Coil Springs ?MISUMI ?UL10-10 ??,Non-Tip riveting PLC control box | PLC???,2.0,,
XB2BW33B1C,Illuminated push button GREEN ? ?XB2BW33B1C,Non-Tip riveting PLC control box | PLC???,0.0,,
XB2BW36B1C,Illuminated push button BLUE ? ?XB2BW36B1C,Non-Tip riveting PLC control box | PLC???,0.0,,
XB2BW35B1C,Illuminated push button YELLOW ? ?XB2BW35B1C,Non-Tip riveting PLC control box | PLC???,0.0,,
XB2BS542C,Complete emergency switching off push button RED ? ?XB2BS542C,Non-Tip riveting PLC control box | PLC???,0.0,,
ZB2BE102C,Single contact block NC ? ?ZB2BE102C,Non-Tip riveting PLC control box | PLC???,0.0,,
ZB2BE101C,Single contact block NO ? ?ZB2BE101C,Non-Tip riveting PLC control box | PLC???,0.0,,
RIP-0642-H2, ?ROXBURGH EMC ?RIP-0642-H2 ?250V~ 6A/40? 50/60HZ,Non-Tip riveting PLC control box | PLC???,0.0,,
PR-50-004778, ? ?For 34461A?,Digital Multimeter,0.0,,
PR-50-004781,",7mm 7mm flat mouth alligator clip ",Digital Multimeter,13.0,,
,pneumatic solenoid valve ?NITRA ?VAS-511-24D  ?20-115Psi,Non-Tip riveting PLC control box | PLC???,0.0,,
,Apricot Automated Calibration system | ,Apricot Automated Calibration system | ???????,0.0,,
,Apricot Automated Calibration system | ,Apricot Automated Calibration system | ???????,0.0,,
7012341,"3cc?Nordson, 7012341",Fluid Dispenser ???,0.0,,
,?? ?WDX MOTOR ?WD4010SH ?24V/0.04A,Hot air repair station | ?????,0.0,,
EC-QS-000236-AC19,Spring plate,Tip Riveting Fixture | ?????,0.0,,
EC-QS-000236-AC21,,Tip Riveting Fixture | ?????,0.0,,
3610SB-05W-B20,UV light source | UV,UV light source | UV???,0.0,,
FXT-00096,NECK HOLD DOWN LEVERJJ-QS-000137-AC3fxt -00096,Ablation wire soldering nest | ??????,0.0,,
FXT-00097,JJ-QS-000137-AC4 Ablation Wire Hold Down,Ablation wire soldering nest | ??????,0.0,,
8486A25,DRILL BUSHING,Cage Tip Riveting machine,0.0,,
 A-MHD3-16-P0.75,BUSH,Cage Tip Riveting machine,0.0,,
,Drill Chuck,Tensile tester | ?????,13.0,,
CJP2B10-10D,DOUBLE ACTING PIN CYLINDER,Nozzle Forming Machine | ?????,0.0,,
FS05-10,Tension and Compression Force Sensors,Tensile tester | ?????,0.0,,
G1013,"Parallel Jaw Grip, Small",Tensile tester | ?????,0.0,,
G1028,Hooks,Tensile tester | ?????,0.0,,
Shear test module,Shear test module,,0.0,,
AR20-N02-B,Regulator,,1.0,,
GP46-P10-01-X30,Pressure gauge,,0.0,,
,LCR digital bridge wire four-wire multimeter penfor LCR ,,0.0,,
PR-50-004692,Motor(Oven Model 20AFE)(20AFE 230),,0.0,,
PR-50-004694,"Heating Elements(Oven Model 20AFE),230V,1000Watts()(20AFE)(20AFE)?230V,1000",,0.0,,
JJ-QS-000148-AC3,RIVET PUSH PIN,,6.0,,
JJ-QS-000196-AC5,180 DEG TWIST TOOL INSERT,,5.0,,
FXT-00102-1 A,Quartz wire clamp,,6.0,,
FXT-00461-10 A,FEED BLOCK,,3.0,,
M057119C-001 Rev B,Base plate ,,0.0,,
M057119C-002 Rev B,Fixture Block,,0.0,,
M057119C-003 Rev B,Shield Right,,0.0,,
M057119C-004 Rev B,Mask finger,,0.0,,
M057119C-005 Rev C,Glass Tube,,0.0,,
M057119C-006 Rev B,Finger Shaft,,0.0,,
M057119C-007 Rev B,Funnel jaw A,,0.0,,
M057119C-008 Rev B,light Bracket,,0.0,,
M057119C-009 Rev B,Funnel jaw B,,0.0,,
M057119C-010 Rev B,Shield Front,,0.0,,
M057119C-011 Rev B,Rear Support,,0.0,,
M057119C-012 Rev B,Thumb Wheel,,0.0,,
M057119C-013 Rev B,Light Shaft,,0.0,,
M057119C-014 Rev B,Interlock Bar,,0.0,,
M057119C-015 Rev B,Ejector,,0.0,,
M057119C-016 Rev B,Pin Block,,0.0,,
M057119C-017 Rev B,Lever Light,,0.0,,
M057119C-018 Rev B,Lever Finger,,0.0,,
M057119C-021 Rev B,Support Front,,0.0,,
M057119C-022 Rev B,Stop Block Adjustable,,0.0,,
M057119C-023 Rev B,Stop Block Static,,0.0,,
M057119C-024 Rev B,Mask Finger Bumps,,0.0,,
M057119C-026 Rev B,UV Absorber,,0.0,,
M057119C-027 Rev B,Alignment Pin Stepped,,0.0,,
M057119C-028 Rev B,Alignment insert,,0.0,,
M057119C-029 Rev B,Hand Rest,,0.0,,
,Shset #6-32 x .25 L,,0.0,,
D0505 OR EQUIV.,Magnet 5/32 x 5/32,,0.0,,
,Bhcs #6-32-0312,,0.0,,
,DWL_062-750,,0.0,,
,DWL_062-500,,0.0,,
,DOWEL PIN M3 X 38,,0.0,,
1986K580 OR EQUIV.,"Spring . 256 Dia X 1.0"" L",,0.0,,
,SHCS #6-32-0500,,0.0,,
,SHCS #6-32-1375,,0.0,,
,DWL_125-500,,0.0,,
,BHCS #4-40-0625,,0.0,,
1173N202 OR EQUIV.,ORING,,0.0,,
6462K72 OR EQUIV.,COLLAR,,0.0,,
7917N11 OR EQUIV.,Bering Car,,0.0,,
7917N28_7 OR EQUIV.,Bering Rail,,0.0,,
90334A115 OR EQUIV.,SHIM,,0.0,,
91292A831 OR EQUIV.,SHCS M2 X 0.4 X 6L,,0.0,,
92141A008 OR EQUIV.,WASHER,,0.0,,
92949A077 OR EQUIV.,BHCS #2-56 X 1/4,,0.0,,
94355A148 OR EQUIV.,SH SET #6-32 X .5,,0.0,,
9540K901 OR EQUIV.,FOOT,,0.0,,
9714K352 OR EQUIV.,WAVE SPRING,,0.0,,
,SHCS #6-32-1250,,0.0,,
,DWL-125-375,,0.0,,
,,,0.0,1.jpg,
